Date,Description,Amount
06/30/2026,TWO BY FOUR 00000000OYSTER BAY          NY,106.80
06/20/2026,AUTOPAY PAYMENT - THANK YOU,-1290.80
06/12/2026,TWO BY FOUR 00000000OYSTER BAY          NY,106.80
06/08/2026,TWO BY FOUR 00000000OYSTER BAY          NY,106.80
06/05/2026,RENEWAL MEMBERSHIP FEE,650.00
05/29/2026,TWO BY FOUR 00000000OYSTER BAY          NY,106.80
05/26/2026,TWO BY FOUR 00000000OYSTER BAY          NY,106.80
05/22/2026,AUTOPAY PAYMENT - THANK YOU,-2670.05
05/19/2026,TWO BY FOUR 00000000OYSTER BAY          NY,106.80
05/15/2026,TWO BY FOUR 00000000OYSTER BAY          NY,106.80
05/12/2026,TWO BY FOUR 00000000OYSTER BAY          NY,106.80
05/08/2026,TWO BY FOUR 00000000OYSTER BAY          NY,106.80
05/05/2026,TWO BY FOUR 00000000OYSTER BAY          NY,106.80
05/01/2026,TWO BY FOUR 00000000OYSTER BAY          NY,106.80